addr	size	name	confidence	args	ret	callers	callees	frame	saved	tags
0x80010000	1248	CardMenuDispatch	medium	1	u32	2	12	48	s0|s1|ra	orphan
0x800104E0	484	func_800104E0	medium	2	u32	1	3	24	ra	addr_taken|orphan
0x800106C4	92	func_800106C4	medium	0	u32	2	1	24	ra	orphan
0x80010720	108	func_80010720	low	1	u32	1	0	0		leaf|orphan
0x8001078C	256	func_8001078C	medium	1	u32	0	1	40	s0|ra	orphan
0x8001088C	388	func_8001088C	low	0	u32	1	0	0		leaf|orphan
0x80010A10	224	func_80010A10	low	0	u32	0	0	0		leaf|orphan
0x80010AF0	44	func_80010AF0	medium	0	u32	1	2	24	ra	orphan
0x80010B1C	40	func_80010B1C	medium	0	void	1	2	24	ra	orphan
0x80010B50	236	func_80010B50	medium	1	u32	1	2	32	s0|s1|s2|ra	orphan
0x80010C3C	104	func_80010C3C	high	3	u32	2	0	0		leaf
0x80010CA4	28	func_80010CA4	high	1	u32	5	0	0		leaf
0x80010CC0	28	func_80010CC0	high	1	u32	7	0	0		leaf
0x80010CDC	40	func_80010CDC	low	1	u32	0	0	0		leaf|orphan
0x80010D04	124	func_80010D04	medium	1	u32	1	3	48	s0|ra	orphan
0x80010D80	816	func_80010D80	medium	1	u32	1	2	40	s0|s1|s2|s3|s4|ra	orphan
0x800110B0	84	func_800110B0	low	0	u32	1	0	0		leaf|orphan
0x80011104	144	func_80011104	medium	2	u32	4	1	24	ra	orphan
0x80011194	116	func_80011194	medium	1	u32	0	2	32	s0|s1|ra	orphan
0x80011208	220	func_80011208	verified	0	u32	2	2	72	s0|s1|ra	
0x800112E4	232	func_800112E4	medium	2	u32	7	4	72	s0|s1|s2|ra	orphan
0x800113CC	268	func_800113CC	medium	4	u32	1	6	80	s0|s1|s2|s3|s4|ra	orphan
0x800114D8	284	func_800114D8	verified	1	u32	1	4	64	s0|s1|ra	
0x800115F4	40	func_800115F4	high	0	u32	3	0	0		leaf
0x8001161C	88	func_8001161C	low	3	u32	0	0	0		leaf|orphan
0x80011674	8	func_80011674	low	0	u32	0	0	0		leaf|orphan
0x8001167C	68	func_8001167C	low	3	u32	0	0	0		leaf|orphan
0x800116C0	148	func_800116C0	low	0	u32	6	2	0	s0|ra	orphan
0x80011754	540	func_80011754	medium	0	u32	1	17	48	s0|s1|s2|s3|ra	orphan
0x80011970	132	func_80011970	medium	2	u32	1	3	24	ra	orphan
0x800119F4	56	func_800119F4	medium	1	u32	1	1	24	s0|ra	orphan
0x80011A2C	496	func_80011A2C	medium	1	u32	2	11	96	s0|s1|ra	orphan
0x80011C1C	220	func_80011C1C	medium	2	u32	1	2	32	s0|s1|s2|ra	orphan
0x80011CF8	628	func_80011CF8	medium	0	u32	1	7	72	s0|s1|ra	orphan
0x80011F6C	420	func_80011F6C	verified	1	u32	5	3	64	s0|s1|s2|s3|ra	
0x80012110	524	func_80012110	medium	0	u32	1	5	40	s0|s1|ra	orphan
0x8001231C	60	func_8001231C	medium	0	u32	2	1	24	ra	orphan
0x80012358	8	func_80012358	low	0	u32	0	0	0		leaf|orphan
0x80012360	524	func_80012360	verified	4	u32	8	2	40	s0|s1|s2|s3|s4|ra	
0x8001256C	76	func_8001256C	low	0	u32	5	2	0	s0|ra	orphan
0x800125B8	784	func_800125B8	medium	0	u32	9	10	32	s0|s1|ra	orphan
0x800128C8	156	func_800128C8	medium	1	u32	1	3	32	s0|s1|s2|ra	addr_taken|orphan
0x80012964	168	func_80012964	medium	1	u32	4	2	32	s0|s1|s2|ra	orphan
0x80012A0C	512	func_80012A0C	verified	1	u32	2	4	32	s0|s1|s2|ra	
0x80012C0C	100	func_80012C0C	verified	2	u32	9	1	32	s0|s1|ra	
0x80012C70	40	func_80012C70	low	3	u32	1	0	0		leaf|orphan
